"Black" Jack Tarr, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#"Black"_Jack_Tarr 
Black Knight, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Knight 
Black Mamba, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Mamba 
Black Marvel, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Marvel 
Black Panda, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Panda 
Black Panther, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Panther 
Black Racer, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Racer 
Black Rider, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Rider 
Black Sky, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Sky 
Black Spectre, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Spectre 
Black Swan, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Swan 
Black Talon, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Talon 
Black Tarantula, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Tarantula 
Black Tiger, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Tiger 
Black Tom Cassidy, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Tom_Cassidy 
Black Widow, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Black_Widow 
Blackheart, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blackheart 
Blacklash, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blacklash 
Blacklight, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blacklight 
Blackout, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blackout 
Blackwing, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blackwing 
Blade, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blade 
Donald Blake, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Donald_Blake 
Blank, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blank 
Blastaar, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blastaar 
Siena Blaze, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Siena_Blaze 
Blazing Skull, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blazing_Skull 
Blindfold, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blindfold 
Blindspot, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blindspot 
Bling!, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bling! 
Blink, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blink 
Bliss, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bliss 
Blitz, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blitz 
Blitzkrieg, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blitzkrieg 
Blizzard, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blizzard 
Blob, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blob 
Blockbuster, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blockbuster 
Blonde Phantom, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blonde_Phantom 
Blood Brothers, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blood_Brothers 
Blood Spider, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blood_Spider 
Bloodaxe, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodaxe 
Bloodhawk, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodhawk 
Bloodlust, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodlust 
Bloodscream, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodscream 
Bloodshed, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodshed 
Cullen Bloodstone, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Cullen_Bloodstone 
Elsa Bloodstone, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Elsa_Bloodstone 
Ulysses Bloodstone, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Ulysses_Bloodstone 
Bloodstorm, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodstorm 
Bloodstorm One, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodstorm_One 
Bloodstrike, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodstrike 
Bloodtide, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodtide 
Bloodwraith, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Bloodwraith 
Blue Blade, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blue_Blade 
Blue Blaze, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blue_Blaze 
Blue Diamond, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blue_Diamond 
Blue Eagle, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blue_Eagle 
Blue Marvel, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blue_Marvel 
Blue Shield, https://en.wikipedia.org/wiki/List_of_Marvel_Comics_characters:_B#Blue_Shield 
